"siteid"	"sitename"	"longitudeeast"	"latitudenorth"	"longitudewest"	"latitudesouth"	"altitude"	"area"	"sitedescription"	"notes"
1	"Cueva de San Josecito"	-99.9125	23.9558333333333	-99.9125	23.9558333333333	2250	NA	NA	"1 Km S Ejido San Josecito; Arroyo Cabrales y Ray (1997): 24 05' N, 9949' W: SW Aramberri"
2	"Tlapacoya"	-98.9441666666667	19.3441666666667	-98.9441666666667	19.3441666666667	2240	NA	NA	"1.5 Km S Tlapacoya; ref. 740:150m Oeste de zona arqueologica de Tlapacoya en parte N del cerro de Tlapacoya; 26 Km SE de la ciudad de Mxico; sur de la Sierra del Pino: los trabajos de Arroyo Cabrales dicen que est a 11302'40\" W asi como 11317'40\"W, pero obviamente hay problemas. El dato correcto podra ser 99, se desconoce si hay problemas en minutos y segundos. Para la ubicacin que ahora se proporciona se sigui a Manuel Reyes"
3	"Tequixquiac"	999	999	999	999	9999	NA	NA	"ref. 847: en la margen N de la Cuenca de Mxico"
4	"Gruta de Loltn"	-89.4941666666667	20.2775	-89.4941666666667	20.2775	40	NA	NA	"ref. 741: 110 Km S de Mrida Yucatn; ref. 791: 3 millas E de Tabi, Yucatan; S de Oxkutzcab, dos horas de Oxkutzcab; ref 467 (Arroyo Cabrales y Ray, 1997) 7 km S Oxkutzcab"
5	"Cueva de Jimnez"	-104.944166666667	27.1441666666667	-104.944166666667	27.1441666666667	9999	NA	NA	"al sur del estado de Chihuahua; ref. 138 (tesis de Joaqun) dice que est al norte del estado"
6	"Cueva de La Boca"	-100.1775	25.4441666666667	-100.1775	25.4441666666667	540	NA	NA	"3 km E Santiago"
7	"El Cedral"	-100.744166666667	23.8441666666667	-100.744166666667	23.8441666666667	9999	NA	NA	"1.7 km SE El Cedral, adjunto a los ranchos La Laguna y Pilar de Cedros"
8	"Cueva de la Presita"	-100.6775	23.6775	-100.6775	23.6775	1540	NA	NA	"21.4 km S Matehuala, del lado E del cerro La Presita, cerca del poblado La Bonita"
9	"Actun Spukil"	999	999	999	999	9999	NA	NA	"aprox. 6 Km S Calcehtok. Cerca de Oxkimtock, ruinas con edad anterior a 475 AD"
10	"Cueva de El Abra"	-99.025	22.6083333333333	-99.025	22.6083333333333	9999	NA	NA	NA
