"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDAGENTE","AGENTE"
1.00,"ND",1.00,"TR"
1.00,"ND",2.00,"ND"
1.00,"ND",3.00,"RD"
1.00,"ND",4.00,"PD"
10.00,"ND",1.00,"RD"
10.00,"ND",1.00,"TR"
102.00,"ND",1.00,"SH"
107.00,"Estrato F",1.00,"SH"
205.00,"limo verde, 3m de prof. de formación Becerra",1.00,"SH"
211.00,"trecnh 2, lots 1,2",1.00,"RD"
260.00,"ND",1.00,"SH"
284.00,"ND",1.00,"SH"
319.00,"ND",1.00,"SH"
320.00,"ND",1.00,"SH"
325.00,"ND",1.00,"SH"
327.00,"ND",1.00,"SH"
328.00,"ND",1.00,"SH"
337.00,"ND",1.00,"SH"
347.00,"ND",1.00,"RD"
348.00,"ND",1.00,"RD"
349.00,"ND",1.00,"RD"
604.00,"ND",1.00,"EH"
