"IDAUTORP","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
1.00,"Akersten","ND","W. A.","ND"
2.00,"Anderson","ND","Elaine","ND"
3.00,"Engestrom","ND","M. D.","ND"
4.00,"Wilson","ND","D. E.","ND"
5.00,"Brattstrom","ND","Bayard H.","ND"
6.00,"Collins","ND","Paul William","ND"
7.00,"Cushing","ND","J. E., Jr","ND"
8.00,"Choate","ND","Jerry R.","ND"
9.00,"Eisenmann","ND","Véra","ND"
10.00,"Karchoud","ND","Abdallah","ND"
11.00,"Findley","ND","James S.","ND"
12.00,"Frazier","ND","Michael K.","ND"
13.00,"Hall","ND","E. Raymond","ND"
14.00,"Handley-","ND","Charles O., Jr.","ND"
15.00,"Harington","ND","C. R.","ND"
16.00,"Harris","ND","Arthur H.","ND"
17.00,"Hooper","ND","Emmet T.","ND"
18.00,"Hutchison","ND","J. Howard","ND"
19.00,"Jakway","ND","George E.","ND"
20.00,"Jones","ND","J. Knox, Jr.","ND"
21.00,"Lyman","ND","R. Lee","ND"
22.00,"Mc Donald","ND","H. Gregory","ND"
23.00,"Linares","ND","Omar J.","ND"
24.00,"Ray","ND","Clayton E.","ND"
25.00,"Naples","ND","Virginia L.","ND"
26.00,"Patton","ND","Thomas H.","ND"
27.00,"De Paula","Couto","Carlos","ND"
28.00,"Russell","ND","Brett D.","ND"
29.00,"Silva","Bárcenas","Angel","ND"
30.00,"Stock","ND","Chester","ND"
31.00,"Wetzel","ND","Ralph","ND"
32.00,"Wilson","ND","Robert W.","ND"
33.00,"Hernández","Chávez","J. Juan","ND"
34.00,"Hughes","ND","Jack T.","ND"
36.00,"Torres","Roldán","Victor","ND"
37.00,"Gilmore","ND","Raymond M.","ND"
38.00,"De los Ríos","Paredes","Magdalena","ND"
39.00,"Repenning","ND","Charles A.","ND"
40.00,"Cartelle","ND","Cástor","ND"
42.00,"Reynoso","Rosales","Victor Hugo","ND"
43.00,"Winkler","ND","Alisa J.","ND"
44.00,"Yukimitsu","ND","Tomida","ND"
47.00,"Messing","ND","Henry J.","ND"
48.00,"Recht","ND","Michael Anthony","ND"
49.00,"Devin","ND","Thomas Alfred","ND"
50.00,"Jurgen","ND","Ch. J.","ND"
52.00,"Roth","ND","Edward","ND"
53.00,"Gillette","ND","David D.","ND"
54.00,"Blackford","ND","Lisa C.","ND"
55.00,"Youngman","ND","Phillip M.","ND"
56.00,"González","Avendaño","Gustavo","ND"
57.00,"Ferrusquía","Villafranca","Ismael","ND"
58.00,"Torres","Martínez","Adriana","ND"
59.00,"Agenbroad","ND","Larry D.","ND"
60.00,"Corner","ND","R. George","ND"
61.00,"Voorhies","ND","Michel R.","ND"
62.00,"Hernández","Junquera","Arturo","ND"
66.00,"Barton","ND","Bax R.","ND"
67.00,"Angulo","ND","Jorge","ND"
68.00,"Arellano","ND","A. R. V.","ND"
69.00,"Müller","ND","Florencia","ND"
70.00,"Anónimo","ND","ND","ND"
72.00,"Aviña","A.","Clemencia","ND"
73.00,"Berta","ND","Annalisa","ND"
74.00,"Brodkorb","ND","Pierce","ND"
75.00,"Cabrera","Castro","Rubén","ND"
76.00,"Bohorquez","ND","Germán A.","ND"
77.00,"Chiasson","ND","Robert B.","ND"
78.00,"Cope","ND","E. D.","ND"
79.00,"Cuatáparo","ND","J. N.","ND"
80.00,"Ramírez","ND","Santiago","ND"
81.00,"Dalquest","ND","Walter W.","ND"
82.00,"Roth","ND","W.","ND"
83.00,"Judd","ND","Franix","ND"
84.00,"Stangl","ND","Frederick B. Jr.","ND"
85.00,"Del Río","ND","Aurelio","ND"
86.00,"Díaz","Lozano","Enrique","ND"
87.00,"Diffenderfer","ND","F. R.","ND"
88.00,"Doutt","ND","J. Kenneth","ND"
89.00,"Black","ND","Craig C.","ND"
90.00,"Downs","ND","T.","ND"
91.00,"Dugés","ND","Alfredo","ND"
92.00,"Edmund","ND","Gordon","ND"
93.00,"Fernández","De Córdoba","Joaquín","ND"
94.00,"Wheeler","ND","Jane C.","ND"
95.00,"Flannery","ND","Kent V.","ND"
97.00,"Furlong","ND","E.L.","ND"
98.00,"Franzen","ND","Jens Lorenz","ND"
99.00,"Cabrera","ND","José María","ND"
100.00,"García","Cook","Angel","ND"
101.00,"García","Moll","Roberto","ND"
102.00,"Gazin","ND","Lewis C.","ND"
105.00,"Bunde","ND","H.","ND"
106.00,"Guilday","ND","John E.","ND"
107.00,"Irving","ND","David C.","ND"
108.00,"Gut","ND","James H.","ND"
109.00,"Hähnel","ND","Walter","ND"
110.00,"Hay","ND","Oliver P.","ND"
111.00,"Hamblin","ND","Nancy L.","ND"
112.00,"Haynes","ND","Gary","ND"
113.00,"Kitchens","ND","Julie A.","ND"
114.00,"Heizer","ND","Robert F.","ND"
115.00,"Cook","ND","Sherburne F.","ND"
116.00,"Hesse","ND","Curtis J.","ND"
117.00,"Villa","R.","Bernardo","ND"
119.00,"Taylor","ND","D. W.","ND"
121.00,"Jefferson","ND","George T.","ND"
122.00,"Hudson","ND","Jean","ND"
123.00,"Phillip","ND","Walker L.","ND"
124.00,"Voorhies","ND","Barbara","ND"
125.00,"Kasper","ND","Stephen","ND"
126.00,"Kirkby","ND","Michael J.","ND"
127.00,"White","ND","Anne V.","ND"
128.00,"Le Tourneau","ND","Phil","ND"
129.00,"Laurito","Mora","César Alberto","ND"
130.00,"Lawler","ND","Howard","ND"
132.00,"Lundelius","ND","Ernest L., Jr.","ND"
133.00,"Mac Donald","ND","J. R.","ND"
134.00,"McDonald","ND","Jerry N.","ND"
136.00,"Maglio","ND","Vicent J.","ND"
137.00,"Maldonado","Cárdenas","Rubén","ND"
