IDLOCALIDAD	UNIDAD_DE_ANALISIS	METODO_RECUPERACION	SISTEMA_DEPOSICION	AMBIENTE_DEPOSICION	IDFACIES	IDCONTAMINACION
1	ND	ND	CV	FS	DS	ND
1	ND	ND	CV	FS	ND	ND
1	ND	ND	CV	ND	ND	ND
1	ND	PAFI	CV	FS	ND	ND
2	ND	ND	FL	ND	ND	ND
2	ND	ND	LA	LG	ND	ND
2	ND	ND	ND	PL	ND	ND
3	ND	ND	FL	ND	ND	ND
3	ND	ND	ND	ND	LC	ND
4	"El Toro, capa V"	ND	CV	ND	ND	ND
4	"El Toro, capa VI"	ND	CV	ND	ND	ND
4	"El Toro, capa VII"	ND	CV	ND	ND	ND
4	"El Toro, capa VIII"	ND	CV	ND	ND	ND
4	"El Toro, capa X"	ND	CV	ND	ND	ND
4	"El Tnel, capa VII-B"	ND	CV	ND	ND	ND
4	"El Tnel, capa VII-E"	ND	CV	ND	ND	ND
4	lot 11	ND	CV	ND	BC	ND
4	ND	ND	CV	AB	ND	ND
4	ND	ND	CV	AG	ND	ND
4	"unidad El Tnel, a partir de la capa VII"	ND	CV	ND	ND	ND
4	"unidad Toro, capa X"	ND	CV	ND	ND	ND
5	ND	ND	CV	ND	ND	P
6	ND	ND	CV	ND	ND	ND
7	ND	ND	LA	PD	ND	ND
7	ND	ND	MA	ND	ND	ND
8	ND	ND	CV	ND	ND	ND
9	lot 16	ND	CV	ND	BC	ND
9	ND	ND	CV	ND	BC	ND
9	ND	ND	CV	ND	ND	ND
9	ND	ND	CV	WD	ND	ND
10	ND	ND	CV	AG	ND	ND
10	ND	ND	CV	BI	ND	ND
12	ND	ND	LA	ND	ND	ND
12	piso del lago	ND	LA	LG	LC	ND
16	ND	ND	FL	ND	ND	ND
16	ND	ND	LA	ND	ND	ND
20	ND	ND	CV	ND	ND	O
20	ND	ND	LA	ND	ND	ND
26	ND	ND	LA	LG	ND	ND
26	ND	ND	ND	LG	ND	ND
31	ND	ND	LA	ND	ND	ND
31	ND	ND	ND	ND	AL	ND
31	ND	ND	ND	ND	EO	ND
36	ND	ND	LA	ND	ND	ND
38	ND	ND	FL	ND	AL	ND
38	ND	ND	LA	ND	ND	ND
49	ND	ND	CV	FS	BC	ND
53	ND	ND	LA	ND	ND	ND
64	ND	ND	FL	AR	ND	ND
68	ND	ND	ND	ND	AL	ND
70	ND	ND	ND	ND	AL	ND
75	ND	ND	LA	LG	LC	ND
75	ND	ND	LA	LG	ND	ND
75	ND	ND	LA	ND	ND	ND
75	ND	ND	ND	ND	LC	ND
92	CM 24	ND	AN	CU	RS	ND
92	CM 37	ND	AN	CU	RS	ND
92	CM 56 D	ND	AN	CU	RS	ND
92	CM 64	ND	AN	CU	RS	ND
92	CM 68	ND	AN	CU	RS	ND
102	ND	ND	LA	ND	ND	ND
103	ND	ND	LA	ND	ND	ND
107	Estrato F	ND	LA	LG	LC	ND
107	ND	ND	LA	ND	ND	ND
108	ND	ND	ND	ND	AL	ND
108	ND	ND	ND	ND	FL	ND
110	ND	ND	LA	ND	ND	ND
137	ND	ND	ND	ND	AL	ND
144	ND	ND	ND	LG	ND	ND
151	ND	ND	ND	PA	ND	ND
166	capa I	ND	AN	CU	RS	P
166	capa II	ND	AN	CU	RS	P
166	capa III	ND	AN	CU	RS	P
166	capa IV	ND	AN	CU	RS	ND
169	ND	ND	LA	LG	ND	ND
205	"limo verde, 3 m de prof. de formacin Becerra"	ND	LA	LG	LC	ND
205	ND	ND	LA	LG	ND	ND
205	ND	ND	LA	ND	ND	ND
209	ND	ND	LA	ND	ND	ND
211	ND	ND	CV	ND	ND	ND
211	"Trench 2, lot 4"	ND	CV	ND	BC	ND
211	"Trench 2, lots 1,2"	ND	CV	ND	BC	ND
216	ND	ND	CV	ND	ND	ND
220	ND	ND	LA	ND	ND	ND
220	Pit 2	ND	LA	LG	ND	ND
220	Pit 4	ND	LA	LG	ND	ND
220	Pit 5	ND	LA	LG	ND	ND
230	ND	ND	CV	ND	BC	ND
231	ND	ND	CV	ND	BC	ND
232	ND	ND	CV	ND	BC	ND
238	capa I	ND	ND	ND	ND	P
238	capa II	ND	ND	ND	ND	P
238	capa III	ND	ND	ND	ND	O
238	capa IV	ND	ND	ND	ND	P
238	capa V	ND	ND	ND	ND	O
238	capa VI	ND	ND	ND	ND	P
238	capa VII	ND	ND	ND	ND	N
238	capa VIII	ND	ND	ND	ND	N
239	capa alfa 1-7	ND	ND	ND	ND	ND
239	capa I	ND	ND	ND	ND	P
239	capa II	ND	ND	ND	ND	P
239	capa III	ND	ND	ND	ND	P
239	capa IV	ND	ND	ND	ND	P
239	capa V	ND	ND	ND	ND	ND
239	capa VI	ND	ND	ND	ND	ND
242	capa III	ND	LA	PA	LC	ND
242	capa IV	ND	LA	PA	LC	ND
242	capa V	ND	LA	PA	LC	ND
242	ND	ND	LA	ND	ND	ND
243	lotes de material clsico	ND	ND	ND	ND	N
243	lotes de material mezclado	ND	ND	ND	ND	P
243	operacin I estr. D5-1	ND	AN	CU	ND	ND
243	operacin I estr. D5-5	ND	AN	CU	ND	ND
243	"operacin II estr. H6-2,3"	ND	AN	CU	ND	ND
243	operacin II estr. H6-4	ND	AN	CU	ND	ND
243	operacin III estr. F4-3	ND	AN	CU	ND	ND
243	operacin III estr. F4-5	ND	AN	CU	ND	ND
243	operacin III estr. F4-6	ND	AN	CU	ND	ND
243	operacin III estr. F4-7	ND	AN	CU	ND	ND
243	"operacin III estr. F4-8,9"	ND	AN	CU	ND	ND
243	operacin IV esc. IV-1	ND	AN	CU	ND	ND
243	operacin IV sep. IV-3	ND	AN	CU	EN	ND
