"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDEDAD","EDAD_UNIDAD_ANALISIS","DESV_ESTANDAR","IDMET_FECHAMIENTO","IDTIPO_MATERIAL","LABORATORIO","NUMERO_LAB","POSICION_FECHA","IDCONFIANZA_EDAD","TAXON"
1.00,"533N 197E",999999999.00,"ND",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
1.00,"534N 197E",999999999.00,"ND",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
1.00,"534N197E estrato 420-340",999999999.00,"33700",1365.00,"14CD","CARO","Laboratorio de Fechamiento del Instituto Nacional de Antropología e Historia","INAH-940","ND","ND","ND"
1.00,"534N197E estrato 595",999999999.00,"37975",700.00,"14CD","HUMA","Radiocarbon Laboratory, Southern Methodist University","SMU-2532","ND","ND","ND"
1.00,"534N197E estrato 630",999999999.00,"44520",2590.00,"14CD","HUMA","Radiocarbon Laboratory, Southern Methodist University","SMU-2590","ND","ND","ND"
1.00,"534N197E estrato 670",999999999.00,"34830",470.00,"14CD","HUMA","Radiocarbon Laboratory, Southern Methodist University","SMU-2589","ND","ND","ND"
1.00,"534N197E estrato 710",999999999.00,"31290",1270.00,"14CD","HUMA","Radiocarbon Laboratory, Southern Methodist University","SMU-2518","ND","ND","ND"
1.00,"534N197E estrato 720",999999999.00,"28005",1035.00,"14CD","CARO","Laboratorio de Fechamiento del Instituto Nacional de Antropología e Historia","INAH-943A","ND","ND","ND"
1.00,"542N 196E",999999999.00,"ND",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
1.00,"ND",999999999.00,"12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
1.00,"ND",999999999.00,"25000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
1.00,"ND",999999999.00,"28000 y 44000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
1.00,"ND",999999999.00,"40000 a 25000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
1.00,"ND",999999999.00,"ND",999999999.00,"14CD","MAPA","Laboratorio de Biología Experimental de la Universidad del Paso, Texas y UALP","ND","ND","ND","ND"
2.00,"ND",999999999.00,"ND",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
4.00,"Cenote Huechil, cala El Toro, XII-O",999999999.00,"21000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
4.00,"El Toro, capa V",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Toro, capa VI",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Toro, capa VII",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Toro, capa VIII",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Toro, capa X",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Tunel, capa VII-B",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"El Tunel, capa VII-E",999999999.00,"1805",150.00,"14CD","CARO","ND","ND","ND","ND","ND"
4.00,"ND",999999999.00,"28400",999999999.00,"14CD","CEVO","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"+40000 aP",999999999.00,"14CD","MADE","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"10",260.00,"14CD","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"15000",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"15570",480.00,"14CD","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"21960",540.00,"14CD","MADE","ND","I-10436","ND","ND","fragmento de tibia de caballo"
7.00,"ND",999999999.00,"21960 aP",540.00,"14CD","MADE","ND","1-10436","ND","ND","fragmento de tibia de caballo procedente de un horizonte"
7.00,"ND",999999999.00,"2480",180.00,"14CD","MADE","ND","GX-6637","ND","ND","ND"
7.00,"ND",999999999.00,"31000",1800.00,"ND","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"31000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"31800",1800.00,"14CD","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"31850",1600.00,"14CD","MADE","ND","I-10438","ND","ND","ND"
7.00,"ND",999999999.00,"31850",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"31850-1600",999999999.00,"14CD","CARB","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"33000",2700.00,"ND","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"33000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
7.00,"ND",999999999.00,"33300",1800.00,"14CD","MADE","ND","GX-7684","ND","ND","ND"
7.00,"ND",999999999.00,"40000",999999999.00,"14CD","MADE","ND","I-10434","ND","ND","ND"
7.00,"ND",999999999.00,"40000 y 2000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
12.00,"ND",999999999.00,"30000",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
15.00,"muestra M-B-4",999999999.00,"26000-60000",999999999.00,"ND","ND","U. S. Geological Survery Laboratories","ND","ND","ND","ND"
15.00,"muestra W-1899",999999999.00,"35000",999999999.00,"14CD","ND","U. S. Geological Survery Laboratories","ND","ND","ND","ND"
15.00,"ND",999999999.00,"0.23",0.01,"230T","ND","ND","ND","ND","ND","ND"
15.00,"ND",999999999.00,"340000-100000",999999999.00,"ND","ND","U. S. Geological Survery Laboratories","ND","ND","ND","ND"
16.00,"ND",999999999.00,"200000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
16.00,"ND",999999999.00,"20780",800.00,"ND","ND","ND","W-1897","ND","ND","ND"
16.00,"ND",999999999.00,"35000-9150",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
16.00,"ND",999999999.00,"ND",999999999.00,"14CD","ARPI","ND","ND","ND","ND","ND"
22.00,"ND",999999999.00,"5",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
23.00,"ND",999999999.00,"12600",999999999.00,"HIOB","OBSI","ND","ND","ND","ND","ND"
26.00,"ND",999999999.00,"12600",1260.00,"HIOB","OBSI","ND","ND","ND","ND","ND"
29.00,"ND",999999999.00,"13000-14000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
29.00,"ND",999999999.00,"8000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
31.00,"ND",999999999.00,"1003",500.00,"ND","ND","ND","C-205","ND","ND","ND"
31.00,"ND",999999999.00,"16000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
31.00,"ND",999999999.00,"9670",400.00,"ND","ND","ND","ND","ND","ND","ND"
71.00,"ND",999999999.00,"10500",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
74.00,"ND",999999999.00,"17400",300.00,"14CD","MADE","Teledyne Isotopes, Inc.","ND","ND","ND","ND"
74.00,"ND",999999999.00,"21960",540.00,"14CD","MADE","Teledyne Isotopes, Inc.","ND","ND","ND","ND"
74.00,"ND",999999999.00,"40000",999999999.00,"14CD","MADE","Teledyne Isotopes, Inc.","ND","ND","ND","ND"
75.00,"ND",999999999.00,"10000 a 15000",999999999.00,"ND","ND","ND","ND","ND","ND","fosíl humano"
75.00,"ND",999999999.00,"10603-20000",999999999.00,"14CD","MAPA","ND","ND","ND","ND","ND"
75.00,"ND",999999999.00,"8000-10000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
101.00,"ND",999999999.00,"10800",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
101.00,"ND",999999999.00,"10800.00",999999999.00,"HIOB","ND","INAH","214","ND","ND","ND"
101.00,"ND",999999999.00,"9670",400.00,"HIOB","ND","ND","ND","ND","ND","ND"
101.00,"ND",999999999.00,"ND",999999999.00,"HIOB","ND","ND","ND","ND","ND","ND"
102.00,"ND",999999999.00,"10000",999999999.00,"HIOB","OBSI","ND","ND","ND","ND","ND"
102.00,"ND",999999999.00,"10000",999999999.00,"ND","OBSI","ND","ND","ND","ND","ND"
102.00,"ND",999999999.00,"10400",999999999.00,"HIOB","ND","INAH","211","ND","ND","ND"
102.00,"ND",999999999.00,"ND",999999999.00,"HIOB","ND","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"31850",1600.00,"ND","ND","ND","I-10438","ND","ND","ND"
103.00,"ND",999999999.00,"7800",600.00,"14CD","ND","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"8000-9500",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"9400",999999999.00,"HIOB","OBSI","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","CARB","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","CARB","University of Michigan","M-776","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","CARO","ND","ND","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","CARO","University of Michigan","ND","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","ND","INAH","182 al 185","ND","ND","ND"
103.00,"ND",999999999.00,"9670",400.00,"14CD","ND","M-776","M-776","ND","ND","ND"
103.00,"ND",999999999.00,"9679",400.00,"14CD","ND","ND","ND","ND","ND","ND"
105.00,"ND",999999999.00,"8000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
105.00,"ND",999999999.00,"8300",999999999.00,"HIOB","ND","INAH","212 y 213","ND","ND","ND"
105.00,"ND",999999999.00,"8300",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
105.00,"ND",999999999.00,"ND",999999999.00,"HIOB","ND","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"11000-16000",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"11003",500.00,"14CD","TURB","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"11003",500.00,"ND","ND","ND","C-205","ND","ND","ND"
107.00,"ND",999999999.00,"12000-1500",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"16000",999999999.00,"14CS","ND","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"16000",999999999.00,"ND","ND","ND","C-204","ND","ND","ND"
107.00,"ND",999999999.00,"2640",200.00,"14CD","HUES","M-774","M-774","ND","ND","ND"
107.00,"ND",999999999.00,"8000-9000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
107.00,"ND",999999999.00,"9000",999999999.00,"ND","CARO","Lamont de la Universidad de Columbia","ND","ND","ND","ND"
107.00,"ND",999999999.00,"más de 16000",999999999.00,"14CD","MADE","ND","ND","ND","ND","ND"
110.00,"ND",999999999.00,"11580",70.00,"ND","ND","ND","ND","ND","ND","ND"
110.00,"ND",999999999.00,"8000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
155.00,"ND",999999999.00,"8000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
161.00,"ND",999999999.00,"8000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
192.00,"ND",999999999.00,"ND",999999999.00,"HIOB","ND","ND","ND","ND","ND","ND"
205.00,"limo verde, 3m de prof. de formación Becerra",999999999.00,"10000-12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
205.00,"ND",999999999.00,"11000-12000",999999999.00,"14CD","ND","ND","ND","ND","ND","ND"
205.00,"ND",999999999.00,"12000",999999999.00,"ND","ND","ND","ND","ND","ND","ND"
205.00,"ND",999999999.00,"6200",999999999.00,"HIOB","OBSI","ND","ND","ND","DC","ND"
205.00,"ND",999999999.00,"7000",999999999.00,"HIOB","OBSI","ND","ND","ND","DC","ND"
205.00,"ND",999999999.00,"8100",999999999.00,"HIOB","OBSI","ND","ND","ND","DC","ND"
205.00,"ND",999999999.00,"9000",250.00,"14CD","ND","Lamol Geological Observatory","ND","ND","ND","ND"
205.00,"ND",999999999.00,"9000",999999999.00,"14CD","ND","Lamont de la Universidad de Columbia","ND","ND","DQ","ND"
209.00,"estrato Vb",999999999.00,"645",100.00,"14CD","CARO","Teledyne Isotopes, Inc.","I-5241","ND","ND","ND"
209.00,"estrato VIII",999999999.00,"1040",100.00,"14CD","CARO","Teledyne Isotopes, Inc.","I-5242","ND","ND","ND"
209.00,"estrato XXII",999999999.00,"4250",125.00,"14CD","ND","Teledyne Isotopes, Inc.","I-21192","ND","ND","ND"
209.00,"estrato XXV",999999999.00,"5090",115.00,"14CD","ND","I-6897","I-6897","ND","ND","ND"
209.00,"ND",999999999.00,"1130-1465",999999999.00,"14CD","CARB","Teledyne Isotopes, Inc.","I-5242","ND","ND","ND"
209.00,"ND",999999999.00,"1150-1470",999999999.00,"14CD","CARB","Teledyne Isotopes, Inc.","I-5243","ND","ND","ND"
209.00,"ND",999999999.00,"12750",280.00,"14CD","TURB","Geochron","6X 0978","ND","ND","ND"
