"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
1.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","LPLE","WISC","ND","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","ND","LWIS","ND","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","ND","ND","RANC","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","ND","WISC","RANC","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","PLEI","ND","RANC","ND","ND","ND","ND","ND","ND"
1.00,"ND","QUAT","PLEI","WISC","ND","ND","ND","ND","ND","ND","ND"
2.00,"cala alfa","QUAT","HOPL","ND","ND","ND","ND","15000 AP","ND","9000 AP","ND"
2.00,"ND","QUAT","LPLE","ND","ND","ND","ND","24000 AP","ND","15000 AP","ND"
2.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
2.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
2.00,"ND","QUAT","PLEI","ND","ND","ND","ND","22000 AP","ND","33150 AP","ND"
3.00,"ND","ND","ND","ND","ND","Etapa 5a-5e","ND","ND","ND","ND","ND"
3.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","ND","PLPL","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","EPLE","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","ND","ND","RANC","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","ND","SANG","RANC","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","PLEI","SANG","RANC","ND","ND","ND","ND","ND","ND"
3.00,"ND","QUAT","PLEI","WISC","RANC","ND","ND","ND","ND","ND","ND"
3.00,"Tajo de Tequixquiac","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
4.00,"Cenote Huechil, cala El Toro, VII","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
4.00,"Cenote Huechil, cala El Toro, XII","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
