"IDESPECIEVALIDA","IDCATEGORIA","IDNOMBREASCENDENTE","IDASCENDENTEOBLIGATORIO","TAXON_VALIDO","ORDEN","FAMILIA","GENERO","ESPECIE","FAUNMAP","ATLAS","AUTOR","AO","REFERENCIA_SEGUIDA","suma"
1.00,8.00,1000.00,1000.00,"Didelphimorphia","Didelphimorphia","ND","ND","ND","MARS","ND","ND","ND",,1.00
2.00,11.00,1.00,1.00,"Didelphidae","Didelphimorphia","Didelphidae","ND","ND","DID","ND","Gray","1821",819.00,1.00
2.50,15.00,2.00,2.00,"Caluromys","Didelphimorphia","Didelphidae","Caluromys","ND","ND","ND","J. A. Allen","1900",819.00,1.00
3.00,21.00,2.50,2.50,"Caluromys derbianus","Didelphimorphia","Didelphidae","Caluromys","derbianus","ND","DIDICALDER","(Waterhouse)","1841",819.00,1.00
4.00,21.00,2.50,2.50,"Caluromys sp.","Didelphimorphia","Didelphidae","Caluromys","sp.","ND","ND","ND","ND",999999999.00,1.00
4.50,15.00,2.00,2.00,"Chironectes","Didelphimorphia","Didelphidae","Chironectes","ND","ND","ND","Illiger","1811",819.00,1.00
5.00,21.00,4.50,4.50,"Chironectes minimus","Didelphimorphia","Didelphidae","Chironectes","minimus","ND","DIDICHIMIN","(Zimmermann)","1780",819.00,1.00
6.00,21.00,4.50,4.50,"Chironectes sp.","Didelphimorphia","Didelphidae","Chironectes","sp.","ND","ND","ND","ND",999999999.00,1.00
6.50,15.00,2.00,2.00,"Didelphis","Didelphimorphia","Didelphidae","Didelphis","ND","ND","ND","Linnaeus","1758",819.00,1.00
7.00,21.00,6.50,6.50,"Didelphis marsupialis","Didelphimorphia","Didelphidae","Didelphis","marsupialis","ND","DIDIDIDMAR","Linnaeus","1758",819.00,1.00
8.00,21.00,6.50,6.50,"Didelphis sp.","Didelphimorphia","Didelphidae","Didelphis","sp.","DE","ND","ND","ND",999999999.00,1.00
9.00,21.00,6.50,6.50,"Didelphis virginiana","Didelphimorphia","Didelphidae","Didelphis","virginiana","DEva","DIDIDIDVIR","Kerr","1792",819.00,1.00
9.50,15.00,2.00,2.00,"Marmosa","Didelphimorphia","Didelphidae","Marmosa","ND","ND","ND","Gray","1821",819.00,1.00
10.00,21.00,9.50,9.50,"Marmosa canescens","Didelphimorphia","Didelphidae","Marmosa","canescens","ND","DIDIMARCAN","(J. A. Allen)","1893",819.00,1.00
11.00,21.00,9.50,9.50,"Marmosa lorenzoi","Didelphimorphia","Didelphidae","Marmosa","lorenzoi","ND","ND","Alvarez y Arroyo-Cabrales","1989",819.00,1.00
12.00,21.00,9.50,9.50,"Marmosa mexicana","Didelphimorphia","Didelphidae","Marmosa","mexicana","ND","DIDIMARMEX","Merriam","1897",819.00,1.00
13.00,21.00,9.50,9.50,"Marmosa sp.","Didelphimorphia","Didelphidae","Marmosa","sp.","ND","ND","ND","ND",999999999.00,1.00
13.50,15.00,2.00,2.00,"Metachirus","Didelphimorphia","Didelphidae","Metachirus","ND","ND","ND","Burmeister","1854",819.00,1.00
14.00,21.00,13.50,13.50,"Metachirus nudicaudatus","Didelphimorphia","Didelphidae","Metachirus","nudicaudatus","ND","DIDIMETNUD","(Desmarest)","1817",819.00,1.00
15.00,21.00,13.50,13.50,"Metachirus sp.","Didelphimorphia","Didelphidae","Metachirus","sp.","ND","ND","ND","ND",999999999.00,1.00
15.50,15.00,2.00,2.00,"Philander","Didelphimorphia","Didelphidae","Philander","ND","ND","ND","Tiedemann","1808",819.00,1.00
16.00,21.00,15.50,15.50,"Philander opossum","Didelphimorphia","Didelphidae","Philander","opossum","ND","DIDIPHIOPO","(Linnaeus)","1758",819.00,1.00
17.00,21.00,15.50,15.50,"Philander sp.","Didelphimorphia","Didelphidae","Philander","sp.","ND","ND","ND","ND",999999999.00,1.00
18.00,8.00,1000.00,1000.00,"Xenarthra","Xenarthra","ND","ND","ND","EDEN","ND","ND","ND",,1.00
19.00,11.00,18.00,18.00,"Dasypodidae","Xenarthra","Dasypodidae","ND","ND","ND","ND","Gray","1821",819.00,1.00
19.50,15.00,19.00,19.00,"Cabassous","Xenarthra","Dasypodidae","Cabassous","ND","ND","ND","McMurtie","1831",819.00,1.00
20.00,21.00,19.50,19.50,"Cabassous centralis","Xenarthra","Dasypodidae","Cabassous","centralis","ND","XEDACABCEN","(Miller)","1811",819.00,1.00
21.00,21.00,19.50,19.50,"Cabassous sp.","Xenarthra","Dasypodidae","Cabassous","sp.","ND","ND","ND","ND",999999999.00,1.00
21.50,15.00,19.00,19.00,"Dasypus","Xenarthra","Dasypodidae","Dasypus","ND","ND","ND","Linnaeus","1758",819.00,1.00
22.00,21.00,21.50,21.50,"Dasypus novemcinctus","Xenarthra","Dasypodidae","Dasypus","novemcinctus","DYno","XEDADASNOV","Linnaeus","1758",819.00,1.00
