"IDFAUNA","IDLOCALIDAD","IDPUBLICACION","UNIDAD_DE_ANALISIS","DETERMINACION","IDESPECIEVALIDA","revisado","VALIDEZ","CONFIANZA","NMI","NUM_EJEMPLARES","CONTEXTO","MODIFICACION","suma_para_tabla_fauna"
1,1.00,1.00,"ND","Sorex cinereus",69.00,1,1,"S",999999999.00,2.00,"ND","ND",1.00
2,1.00,1.00,"ND","Sorex saussurei",76.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
3,1.00,1.00,"ND","Cryptotis mexicana",60.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
4,1.00,1.00,"ND","Leptonycteris nivalis",162.00,1,1,"S",999999999.00,17.00,"ND","ND",1.00
5,1.00,1.00,"ND","Desmodus stocki",147.00,1,1,"S",999999999.00,13.00,"ND","ND",1.00
6,1.00,1.00,"ND","Lasiurus cinereus",235.00,1,1,"S",999999999.00,1.00,"ND","ND",1.00
7,1.00,1.00,"ND","Plecotus tetralophodon",221.00,1,1,"S",999999999.00,1.00,"ND","ND",1.00
8,1.00,1.00,"ND","Sylvilagus sp.",926.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
9,1.00,1.00,"ND","Sylvilagus leonensis",924.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
10,1.00,1.00,"ND","Sciurus sp.",616.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
11,1.00,1.00,"ND","Sciurus alleni",607.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
12,1.00,1.00,"ND","Spermophilus sp.",627.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
13,1.00,1.00,"ND","Spermophilus cf. spilosoma",628.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
14,1.00,1.00,"ND","Marmota sp.",605.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
15,1.00,1.00,"ND","Thomomys sp.",668.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
16,1.00,1.00,"ND","Thomomys umbrinus",670.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
17,1.00,1.00,"ND","Cratogeomys sp.",651.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
18,1.00,1.00,"ND","Cratogeomys castanops",644.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
19,1.00,1.00,"ND","Heterogeomys onerosus",661.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
20,1.00,1.00,"ND","Liomys irroratus",707.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
21,1.00,1.00,"ND","Reithrodontomys sp.",858.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
22,1.00,1.00,"ND","Peromyscus sp.",842.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
23,1.00,1.00,"ND","Peromyscus boylii",801.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
24,1.00,1.00,"ND","Sigmodon hispidus",872.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
25,1.00,1.00,"ND","Neotoma sp.",771.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
26,1.00,1.00,"ND","Neotoma albigula",750.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
27,1.00,1.00,"ND","Synaptomys cooperi",877.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
28,1.00,1.00,"ND","Microtus sp.",745.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
29,1.00,1.00,"ND","Microtus mexicanus",739.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
30,1.00,1.00,"ND","Erethizon dorsatum",886.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
31,1.00,1.00,"ND","Ursus americanus",408.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
32,1.00,1.00,"ND","Spilogale putorius",369.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
33,1.00,1.00,"ND","Conepatus mesoleucus",351.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
