"IDINSTITUCION","SIGLAS_INSTITUCION","NOMBRE_INSTITUCION","CODIGO_POSTAL","CIUDAD","ESTADO","PAIS","DIRECCION","DOCENCIA","INVESTIGACION","SOCCIENTIF","ONG","GOBIERNO","PRIVADA"
1.00,"DND","Depositario no designado",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
2.00,"CAS","California Academy of Sciences",94118.00,"San Francisco","California","U.S.A.","Golden Gate Park 4501",1,1,1,1,0,1
3.00,"CM","Mooser",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
4.00,"MG-LIN","Museo de Geología y Paleontología de Linares, N.L.",14200.00,"ND","ND","México","ND",0,1,0,0,0,0
5.00,"UAZ","University of Arizona",99999.00,"ND","ND","U.S.A.","ND",0,0,0,0,0,0
6.00,"CUM","Cia. Contratistas Unidos Mexicanos",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
7.00,"CT","Col. Cd. de Toluca",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
8.00,"CP","Colección Particular",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
9.00,"CFS","Federico Solórzano",99999.00,"ND","ND","México","ND",0,0,0,0,0,1
10.00,"MU","Midwest University",99999.00,"ND","ND","U.S.A.","ND",0,0,0,0,0,0
11.00,"UK","University of Kiel",99999.00,"ND","ND","ND","ND",0,1,0,0,0,0
12.00,"CEG","Colegio del Estado de Guanajuato",99999.00,"ND","ND","México","ND",0,0,0,0,0,0
13.00,"UAP","Universidad Autónoma de Puebla",99999.00,"ND","ND","México","ND",0,0,0,0,0,0
14.00,"EI","Esc. Ing.",99999.00,"ND","ND","México","ND",0,0,0,0,0,0
15.00,"EIPM","Esc. Ing no. 1; Palacio de Minería",99999.00,"D.F.","D.F.","México","ND",0,0,0,0,0,0
16.00,"FC","Fauna Cedazo",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
17.00,"ILEM","Instituto Literario del Estado de México (paradero desconocido)",99999.00,"ND","ND","México","ND",0,0,0,0,0,0
18.00,"ENCB-IPN","Instituto Politécnico Nacional",11340.00,"D.F.","D.F.","México","Prol. de Carpio y Plan de Ayala 1134, Col. Santo T",1,1,1,0,1,0
19.00,"UB","University of Breslau",99999.00,"ND","ND","ND","ND",0,0,0,0,0,0
