"IDLOCALIDAD","IDESTADO","IDMUNICIPI","NOMBRE_LOCALIDAD","NUMERO_MAPA","ESCALA_MAPA","LATITUD_GRADOS","LATITUD_MINUTOS","LATITUD_SEGUNDOS","LONGITUD_GRADOS","LONGITUD_MINUTOS","LONGITUD_SEGUNDOS","MERCATOR_NORTE","MERCATOR_ESTE","LOCALIDAD","COORDENADA_N-S","COORDENADA_E-W","ELEVACION","IDPRECISION","COMENTARIOS","suma"
1.00,19.00,24.00,"Cueva de San Josecito","ND","ND",23.00,57.00,21.00,99.00,54.00,45.00,"ND","ND","Ejido San Josecito","1 Km S","ND",2250.00,"ND","1 Km S Ejido San Josecito; Arroyo Cabrales y Ray (1997): 24º 05' N, 99º49' W: SW Aramberri",1.00
2.00,15.00,0.00,"Tlapacoya","ND","ND",19.00,19.00,99.00,98.00,55.00,99.00,"ND","ND","Tlapacoya","1.5 Km S","ND",2240.00,"ND","1.5 Km S Tlapacoya; ref. 740:150m Oeste de zona arqueologica de Tlapacoya en parte N del cerro de Tlapacoya; 26 Km SE de la ciudad de México; sur de la Sierra del Pino: los trabajos de Arroyo Cabrales dicen que está a 113º02'40"" W asi como 113º17'40""W, pero obviamente hay problemas. El dato correcto podría ser 99º, se desconoce si hay problemas en minutos y segundos. Para la ubicación que ahora se proporciona se siguió a Manuel Reyes",1.00
3.00,15.00,0.00,"Tequixquiac","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 847: en la margen N de la Cuenca de México",1.00
4.00,31.00,0.00,"Gruta de Loltún","ND","ND",20.00,15.00,99.00,89.00,28.00,99.00,"ND","ND","Oxkutzcab","ND","ND",40.00,"ND","ref. 741: 110 Km S de Mérida Yucatán; ref. 791: 3 millas E de Tabi, Yucatan; S de Oxkutzcab, dos horas de Oxkutzcab; ref 467 (Arroyo Cabrales y Ray, 1997) 7 km S Oxkutzcab",1.00
5.00,8.00,0.00,"Cueva de Jiménez","ND","ND",27.00,7.00,99.00,104.00,55.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","al sur del estado de Chihuahua; ref. 138 (tesis de Joaquín) dice que está al norte del estado",1.00
6.00,19.00,0.00,"Cueva de La Boca","ND","ND",25.00,25.00,99.00,100.00,9.00,99.00,"ND","ND","ND","ND","ND",540.00,"ND","3 km E Santiago",1.00
7.00,24.00,0.00,"El Cedral","ND","ND",23.00,49.00,99.00,100.00,43.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","1.7 km SE El Cedral, adjunto a los ranchos La Laguna y Pilar de Cedros",1.00
8.00,24.00,0.00,"Cueva de la Presita","ND","ND",23.00,39.00,99.00,100.00,39.00,99.00,"ND","ND","ND","ND","ND",1540.00,"ND","21.4 km S Matehuala, del lado E del cerro La Presita, cerca del poblado La Bonita",1.00
9.00,31.00,0.00,"Actun Spukil","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Calcehtok","6 Km S","ND",9999.00,"ND","aprox. 6 Km S Calcehtok. Cerca de Oxkimtock, ruinas con edad anterior a 475 AD",1.00
10.00,28.00,0.00,"Cueva de El Abra","ND","ND",22.00,36.00,30.00,99.00,1.00,30.00,"ND","ND","ND","ND","ND",9999.00,"CP","ND",1.00
11.00,32.00,0.00,"Emilio Carranza","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 855: a lo largo del arroyo EL Molino, aguas arriba del poblado de Emilio Carranza, en el SE de Zacatecas",1.00
