"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDMODIFICACION","TIPO_MODIFACION"
1.00,"ND",999999999.00,"PA"
1.00,"ND",999999999.00,"PU"
1.00,"ND",999999999.00,"QU"
1.00,"ND",999999999.00,"RR"
3.00,"ND",999999999.00,"AG"
7.00,"ND",999999999.00,"HH"
16.00,"ND",999999999.00,"PE"
16.00,"ND",999999999.00,"TR"
19.00,"ND",999999999.00,"PU"
75.00,"ND",999999999.00,"LA"
151.00,"ND",999999999.00,"MC"
151.00,"ND",999999999.00,"QU"
193.00,"ND",999999999.00,"QU"
209.00,"ND",999999999.00,"DS"
209.00,"ND",999999999.00,"PE"
209.00,"ND",999999999.00,"PU"
215.00,"ND",999999999.00,"PU"
215.00,"ND",999999999.00,"TR"
284.00,"ND",999999999.00,"ES"
284.00,"ND",999999999.00,"MC"
284.00,"ND",999999999.00,"QU"
292.00,"ND",999999999.00,"PE"
292.00,"ND",999999999.00,"TR"
309.00,"ND",999999999.00,"TR"
606.00,"ND",999999999.00,"I0"
613.00,"ND",999999999.00,"AE"
613.00,"ND",999999999.00,"HH"
613.00,"ND",999999999.00,"PU"
613.00,"ND",999999999.00,"QU"
617.00,"ND",999999999.00,"AG"
617.00,"ND",999999999.00,"DH"
617.00,"ND",999999999.00,"DS"
617.00,"ND",999999999.00,"PU"
617.00,"ND",999999999.00,"RC"
617.00,"ND",999999999.00,"RR"
693.00,"ND",999999999.00,"TR"
775.00,"ND",999999999.00,"TR"
777.00,"ND",999999999.00,"TR"
778.00,"ND",999999999.00,"PE"
852.00,"ND",999999999.00,"TR"
860.00,"ND",999999999.00,"AT"
877.00,"ND",999999999.00,"QU"
917.00,"ND",999999999.00,"TR"
