"IDLOCALIDA","NOMBRE_ALTERNATIVO"
1.00,"San Josecito Cave"
1.00,"Villa de San Josecito"
2.00,"ND"
3.00,"ND"
4.00,"Caverna de Loltn"
4.00,"Cueva de Loltn"
4.00,"Grutas del Loltn"
4.00,"Loltun"
4.00,"Loltn"
4.00,"Loltun cave"
4.00,"Roca de las Flores"
4.00,"Rock of Flowers"
5.00,"Cueva Jimnez"
6.00,"Caballo Pintado"
6.00,"La Boca"
7.00,"Cedral"
7.00,"La Amapola"
7.00,"Rancho La Amapola"
8.00,"Cueva de Matehuala"
8.00,"Cueva La Presita"
8.00,"La Presita"
9.00,"Cueva de Actun Spukil"
9.00,"Cueva de Spukil (Calcehtok)"
9.00,"Cueva del ratn"
9.00,"Spukil cave"
10.00,"Cueva de Abra"
10.00,"Cueva del Abra"
11.00,"ND"
12.00,"Catarina-Atotonilquillo"
12.00,"Lago de Chapala"
12.00,"Lago de Zacoalco"
12.00,"N del Lago de Chapala"
12.00,"Zacoalco"
12.00,"Zacoalco-Sayula"
13.00,"Apaxco de Ocampo"
14.00,"cerca de la Villa de Sn. Vicente Chicoloapan"
14.00,"cerca de San Vicente Chicoloapan"
15.00,"Atepitzingo"
16.00,"ND"
17.00,"Municipio Villa Corzo"
17.00,"Villa Corzo"
18.00,"El Golfo de Santa Clara"
18.00,"Golfo de Santa Clara"
18.00,"pueblo del Golfo de Santa Clara"
19.00,"Base de los cerros de Guadalupe"
19.00,"Cerro de Tepeyac"
19.00,"Santuario de Guadalupe"
19.00,"Tepeyac"
20.00,"ND"
21.00,"Arroyo de San Francisco"
22.00,"Arroyo del Cedazo"
22.00,"Arroyo El Cedazo"
23.00,"Mexiko"
24.00,"ND"
25.00,"ND"
26.00,"ND"
27.00,"Calle Hornedo"
28.00,"Villa de Tula"
29.00,"ND"
30.00,"ND"
31.00,"Cuenca de Mxico"
31.00,"Cuenca del Valle"
32.00,"ND"
33.00,"Carrizal"
34.00,"ND"
35.00,"ND"
36.00,"""near Ameca"""
36.00,"cerca de Ameca"
36.00,"Valle de Ameca"
37.00,"Ario de Rosales"
38.00,"Arispe"
38.00,"Rio Sonora"
39.00,"La Luz"
39.00,"Mineral de la Luz"
39.00,"Rancho de Arperos"
40.00,"Barranca Cieneguita"
40.00,"Cieneguita"
41.00,"ND"
42.00,"ND"
43.00,"Rincn"
44.00,"Ciudad de Atlixco"
45.00,"Acultzingo gorge"
45.00,"Barranca Seca"
46.00,"ND"
47.00,"ND"
48.00,"Caada de Acultzilgo"
49.00,"Caon Madre"
49.00,"Cerro de en Medio"
49.00,"Monterrey"
49.00,"San Roque"
50.00,"ND"
51.00,"""bie Ejutla"""
51.00,"Pueblo de Ejutla"
51.00,"Santa Martha Ejutla"
52.00,"Rosario"
53.00,"ND"
54.00,"Ciudad Guerrero"
55.00,"""Quartar-formation des Hochtales van Mexiko"""
55.00,"Tequixquiac?"
56.00,"mitad norte de Isla Tiburn"
57.00,"ND"
58.00,"ND"
59.00,"ND"
60.00,"ND"
61.00,"ND"
62.00,"Morolen ?"
63.00,"Rancho de San Angel"
64.00,"Saltillo"
65.00,"ND"
66.00,"ND"
67.00,"ND"
68.00,"Barranca de San Pedro Zacachimalpa"
68.00,"Barranca San Pedro Zacachimalpa"
68.00,"Pedro Zacachimalpa"
68.00,"San Pedro Zacamachila Villa (sic)"
69.00,"ND"
70.00,"ND"
71.00,"ND"
72.00,"Tacubaya?"
73.00,"Ciudad de Tecamachalco"
73.00,"Tecamachalco"
74.00,"Tehuichila Villa"
75.00,"Regin de Tepexpan"
75.00,"Tepexpam (sic)"
76.00,"Tesopalco Villa"
77.00,"ND"
78.00,"Tlatlauquitepec"
79.00,"Bolsn de Mapim (por Torren)"
79.00,"Ciudad de Torren"
80.00,"Pueblo de Yepmera"
80.00,"Valle del Ro Papigochic"
81.00,"Estrella (fraccionamiento)"
81.00,"Villa Gustavo A. Madero"
81.00,"Villa Gustavo Madero"
81.00,"Villa Madero"
82.00,"ND"
83.00,"ND"
84.00,"Zumpango de Ocampo"
85.00,"ND"
86.00,"ND"
87.00,"ND"
88.00,"""in Mexikanische staate Mechoacan"""
88.00,"Mechoacn"
89.00,"ND"
90.00,"ND"
91.00,"ND"
92.00,"ND"
93.00,"El Cedazo"
94.00,"ND"
95.00,"ND"
96.00,"ND"
97.00,"Villa de Bravo (sic)"
98.00,"ND"
99.00,"ND"
100.00,"ND"
101.00,"Los Reyes"
102.00,"Los Reyes"
102.00,"Los Reyes Acozaca"
102.00,"Los Reyes de Acozac"
103.00,"Atepehuacan"
103.00,"barrio de San Bartolo Atepehuacn"
104.00,"ND"
105.00,"ND"
106.00,"ND"
107.00,"Santa Isabel Iztapan"
107.00,"Sta. Isabel Ixtapan"
108.00,"Barrio de Calxiacatl"
108.00,"Calxiacatl"
108.00,"Chiconcuac"
108.00,"Chinconcuac"
109.00,"ND"
110.00,"Santa Luca"
111.00,"ND"
112.00,"Acueducto de Lerma"
112.00,"Almoloya de Ro"
113.00,"ND"
114.00,"ND"
115.00,"ND"
116.00,"ND"
117.00,"Cueva San Agustn, Huentla"
118.00,"Cueva Bustamante"
118.00,"Gruta del Palmito"
