"IDPUBLICACION","IDTIPOPUBLICACION","IDFUENTE","NO_AUTORES","AO_PUBLICACION","TITULO","NOMBRE_LIBRO-REVISTA","EDITOR_LIBRO","VOL_REVISTA","NUM_REVISTA","EDITORIAL/INSTITUCION","FECHA_PUBLICACION","LUGAR_PUBLICACION","PAG_ARTICULO","PAG_PUBLICACION","suma"
1.00,1.00,2.00,1.00,"1965","Catlogo paleomastozoolgico mexicano","Publicaciones del Departamento de Prehistoria","ND",17.00,"ND","Instituto Nacional de Antropologa e Historia","ND","Mxico","1-70","70",1.00
2.00,1.00,2.00,2.00,"1987","Nomenclatura especfica de los Equidae del Pleistoceno de Mxico","Anales de la Escuela Nacional de Ciencias Biolgicas","ND",31.00,"ND","Instituto Politcnico Nacional","ND","ND","125-132","ND",1.00
3.00,1.00,3.00,2.00,"1991","Nothrotheriops from the Pleistocene of Oklahoma and paleography of the genus","The Southwestern Naturalist","ND",36.00,"2","ND","ND","ND","178-185","ND",1.00
4.00,1.00,2.00,1.00,"1984","Review of the small carnivores of North America during the last 3.5 million years","Special Publication, Carnegie Museum of Natural History","ND",8.00,"ND","ND","ND","ND","257-266","ND",1.00
5.00,1.00,3.00,1.00,"1951","Research on the continental Neogene of Mexico","American Journal of Science","ND",249.00,"ND","ND","ND","ND","604-616","ND",1.00
6.00,1.00,3.00,1.00,"1991","New studies on San Josecito Cave, Nuevo Leon, Mexico","Cave Research Foundation 1990 Annual Report","ND",0.00,"ND","ND","ND","ND","43-44","ND",1.00
7.00,1.00,2.00,1.00,"1992","Sinopsis de los murcilagos fsiles de Mxico","Revista de la Sociedad Mexicana de Paleontologa","ND",5.00,"1","ND","1992","ND","1-14","ND",1.00
8.00,1.00,3.00,3.00,"1989","An initial reappraisal of San Josecito Cave and its Late Pleistocene fauna","Current Research in the Pleistocene","ND",6.00,"ND","ND","1989","ND","63-65","ND",1.00
9.00,1.00,1.00,1.00,"1969","Nota sobre carnvoros fsiles del Pleistoceno de Mxico","Paleoecologa","ND",5.00,"ND","Departamento de Prehistoria, Instituto Nacional de Antropologa e Historia","1969","Mxico","1-20","ND",1.00
10.00,7.00,1.00,1.00,"1993","Analysis of Navahoceros","Journal of Vertebrate Paleontology, Supplement","ND",13.00,"3","ND","ND","ND","26A-27A","ND",1.00
11.00,1.00,1.00,1.00,"1955","Pleistocene lizards from San Josecito Cavern, Mexico, with description of a new species","Copeia","ND",1955.00,"2","ND","ND","ND","133-134","ND",1.00
12.00,5.00,1.00,1.00,"1982","Origin and differentiation of the Island fox: a study of evolution in insular populations","ND","ND",0.00,"ND","University of California","ND","Santa Barbara","ND","303",1.00
13.00,1.00,1.00,1.00,"1945","Quaternary rodents and lagomorphs of San Josecito Cave, Nuevo Leon, Mexico","Journal of Mammalogy","ND",26.00,"ND","ND","ND","ND","182-185","ND",1.00
14.00,1.00,2.00,1.00,"1970","Systematics and zoogeography of Middle American shrews of the genus Cryptotis","University of Kansas Publications, Museum of Natural History","ND",19.00,"3","ND","ND","ND","195-317","ND",1.00
15.00,1.00,1.00,1.00,"1979","The little horses (genus Equus) of the Pleistocene of North America","The American Midland Naturalist","ND",101.00,"1","ND","ND","ND","241-244","ND",1.00
16.00,1.00,1.00,2.00,"1982","Analyses multidimensionnelles de mtapodes d' Equus sensu lato (Mammalia, Perissodactyla)","Bull. Mus. nat. Hist. nat., Paris","ND",0.00,"ND","ND","ND","ND","75-103","ND",1.00
17.00,1.00,1.00,1.00,"1953","Pleistocene Soricidae from San Josecito Cave, Nuevo Leon, Mexico","University of Kansas Publications, Museum of Natural History","ND",5.00,"36","ND","ND","ND","633-639","ND",1.00
18.00,1.00,1.00,1.00,"1981","A revision of the fossil Erethizontidae of North America","Bulletin of the Florida State Museum, Biological Sciences","ND",27.00,"1","ND","ND","ND","1-76","ND",1.00
19.00,1.00,1.00,1.00,"1973","Systematics and evolutionary relationships of spiny pocket mice, genus Liomys","Special Publications, The Museum, Texas Tech University","ND",0.00,"5","ND","ND","ND","1-368","ND",1.00
20.00,1.00,1.00,1.00,"1960","Small carnivores from San Josecito Cave (Pleistocene), Nuevo Len, Mxico.","University of Kansas Publications, Museum of Natural History","ND",9.00,"20","ND","ND","ND","531-538","ND",1.00
