"IDPUBLICACION","ORDEN_EN_CITA","IDAUTORPUB","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
1.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
2.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
2.00,2.00,295.00,"Ocaña","ND","Aurelio","ND"
3.00,1.00,1.00,"Akersten","ND","W. A.","ND"
3.00,2.00,22.00,"Mc Donald","ND","H. Gregory","ND"
4.00,1.00,2.00,"Anderson","ND","Elaine","ND"
5.00,1.00,68.00,"Arellano","ND","A. R. V.","ND"
6.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
7.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
8.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
8.00,2.00,180.00,"Johnson","ND","Eileen","ND"
8.00,3.00,299.00,"Ralph","ND","Ronald W.","ND"
9.00,1.00,72.00,"Aviña","ND","Clemencia E.","ND"
10.00,1.00,54.00,"Blackford","ND","Lisa","ND"
11.00,1.00,5.00,"Brattstrom","ND","Bayard H.","ND"
12.00,1.00,6.00,"Collins","ND","Paul William","ND"
13.00,1.00,7.00,"Cushing","ND","J. E., Jr","ND"
14.00,1.00,8.00,"Choate","ND","Jerry R.","ND"
15.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
16.00,1.00,9.00,"Eisenmann","ND","Véra","ND"
16.00,2.00,10.00,"Karchoud","ND","Abdallah","ND"
17.00,1.00,11.00,"Findley","ND","James S.","ND"
18.00,1.00,12.00,"Frazier","ND","Michael K.","ND"
19.00,1.00,337.00,"Genoways","ND","Hugh H.","ND"
20.00,1.00,13.00,"Hall","ND","E. Raymond","ND"
21.00,1.00,14.00,"Handley","ND","Charles O., Jr.","ND"
22.00,1.00,14.00,"Handley","ND","Charles O., Jr.","ND"
23.00,1.00,15.00,"Harington","ND","C. R.","ND"
24.00,1.00,16.00,"Harris","ND","Arthur H.","ND"
25.00,1.00,16.00,"Harris","ND","Arthur H.","ND"
26.00,1.00,248.00,"Hibbard","ND","Claude W.","ND"
27.00,1.00,17.00,"Hooper","ND","Emmet T.","ND"
28.00,1.00,18.00,"Hutchison","ND","J. Howard","ND"
29.00,1.00,19.00,"Jakway","ND","George E.","ND"
30.00,1.00,20.00,"Jones","ND","J. Knox, Jr.","ND"
31.00,1.00,228.00,"Kurtén","ND","Björn","ND"
32.00,1.00,228.00,"Kurtén","ND","Björn","ND"
33.00,1.00,228.00,"Kurtén","ND","Björn","ND"
34.00,1.00,228.00,"Kurtén","ND","Björn","ND"
35.00,1.00,228.00,"Kurtén","ND","Björn","ND"
36.00,1.00,228.00,"Kurtén","ND","Björn","ND"
37.00,1.00,132.00,"Lundelius","ND","Ernest L., Jr.","ND"
38.00,1.00,21.00,"Lyman","ND","R. Lee","ND"
39.00,1.00,318.00,"Maldonado-","Koerdell","Manuel","ND"
40.00,1.00,22.00,"Mc Donald","ND","H. Gregory","ND"
41.00,1.00,214.00,"Morgan","ND","Gary S.","ND"
41.00,2.00,23.00,"Linares","ND","Omar J.","ND"
41.00,3.00,24.00,"Ray","ND","Clayton E.","ND"
42.00,1.00,25.00,"Naples","ND","Virginia L.","ND"
43.00,1.00,26.00,"Patton","ND","Thomas H.","ND"
44.00,1.00,27.00,"De Paula","Couto","Carlos","ND"
45.00,1.00,27.00,"De Paula","Couto","Carlos","ND"
46.00,1.00,250.00,"Russell","ND","Robert J.","ND"
47.00,1.00,250.00,"Russell","ND","Robert J.","ND"
48.00,1.00,28.00,"Russell","ND","Brett D.","ND"
48.00,2.00,16.00,"Harris","ND","Arthur H.","ND"
49.00,1.00,29.00,"Silva-","Bárcenas","Angel","ND"
50.00,1.00,29.00,"Silva","Bárcenas","Angel","ND"
51.00,1.00,30.00,"Stock","ND","Chester","ND"
52.00,1.00,30.00,"Stock","ND","Chester","ND"
53.00,1.00,30.00,"Stock","ND","Chester","ND"
54.00,1.00,30.00,"Stock","ND","Chester","ND"
55.00,1.00,30.00,"Stock","ND","Chester","ND"
56.00,1.00,30.00,"Stock","ND","Chester","ND"
57.00,1.00,30.00,"Stock","ND","Chester","ND"
58.00,1.00,183.00,"Van Devender","ND","Thomas R.","ND"
58.00,2.00,350.00,"Bradley","ND","George L.","ND"
58.00,3.00,16.00,"Harris","ND","Arthur H.","ND"
59.00,1.00,141.00,"Webb","ND","S. David","ND"
60.00,1.00,141.00,"Webb","ND","S. David","ND"
61.00,1.00,272.00,"Werdelin","ND","Lars","ND"
62.00,1.00,31.00,"Wetzel","ND","Ralph","ND"
63.00,1.00,210.00,"White","ND","John A.","ND"
64.00,1.00,32.00,"Wilson","ND","Robert W.","ND"
65.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
66.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
66.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
67.00,1.00,73.00,"Berta","ND","Annalisa","ND"
68.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
68.00,2.00,33.00,"Hernández","Chávez","J. Juan","ND"
69.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
69.00,2.00,34.00,"Hughes","ND","Jack T.","ND"
70.00,1.00,57.00,"Ferrusquía-","Villafranca","Ismael","ND"
70.00,2.00,36.00,"Torres","Roldán","Victor","ND"
71.00,1.00,37.00,"Gilmore","ND","Raymond M.","ND"
72.00,1.00,142.00,"Miller","ND","W. E.","ND"
72.00,2.00,354.00,"Carranza-","Castañeda","Oscar","ND"
73.00,1.00,39.00,"Repenning","ND","Charles A.","ND"
74.00,1.00,29.00,"Silva-","Bárcenas","Angel","ND"
75.00,1.00,40.00,"Cartelle","ND","Cástor","ND"
75.00,2.00,371.00,"De Iuliis","ND","Gerardo","ND"
76.00,1.00,318.00,"Maldonado-","Koerdell","Manuel","ND"
77.00,1.00,217.00,"Mooser","Barendun","Oswaldo","ND"
78.00,1.00,355.00,"Montellano-","Ballesteros","Marisol","ND"
79.00,1.00,355.00,"Montellano-","Ballesteros","Marisol","ND"
79.00,2.00,354.00,"Carranza-","Castañeda","Oscar","ND"
80.00,1.00,42.00,"Reynoso-","Rosales","Victor Hugo","ND"
80.00,2.00,355.00,"Montellano-","Ballesteros","Marisol","ND"
81.00,1.00,379.00,"Lorenzo","ND","José L.","ND"
82.00,1.00,30.00,"Stock","ND","Chester","ND"
83.00,1.00,43.00,"Winkler","ND","Alisa J.","ND"
83.00,2.00,44.00,"Yukimitsu","ND","Tomida","ND"
84.00,1.00,340.00,"Irwin-","Williams","Cynthia","ND"
85.00,1.00,144.00,"Niederberger","ND","Christine","ND"
86.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
86.00,2.00,241.00,"Polaco","ND","Oscar J.","ND"
87.00,1.00,333.00,"Aveleyra","Arroyo de Anda","Luis","ND"
88.00,1.00,217.00,"Mooser","ND","Oswaldo","ND"
88.00,2.00,81.00,"Dalquist","ND","Walter W.","ND"
89.00,1.00,47.00,"Messing","ND","Henry J.","ND"
90.00,1.00,30.00,"Stock","ND","Chester","ND"
91.00,1.00,48.00,"Recht","ND","Michael Anthony","ND"
92.00,1.00,49.00,"Devin","ND","Thomas Alfred","ND"
93.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
94.00,1.00,50.00,"Jurgen","ND","Ch. J.","ND"
95.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
96.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
97.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
98.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
99.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
99.00,2.00,241.00,"Polaco","ND","Oscar J.","ND"
100.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
101.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
102.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
103.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
104.00,1.00,234.00,"Alvarez","Solórzano","Ticul","ND"
105.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
105.00,2.00,52.00,"Roth","ND","Edward","ND"
106.00,1.00,53.00,"Gillette","ND","David D.","ND"
106.00,2.00,24.00,"Ray","ND","Clayton E.","ND"
107.00,1.00,54.00,"Blackford","ND","Lisa C.","ND"
108.00,1.00,55.00,"Youngman","ND","Phillip M.","ND"
109.00,1.00,56.00,"González","Avendaño","Gustavo","ND"
110.00,1.00,234.00,"Alvarez","S.","Ticul","ND"
110.00,2.00,57.00,"Ferrusquía","Villafranca","Ismael","ND"
111.00,1.00,248.00,"Hibbard","ND","Claude W.","ND"
112.00,1.00,318.00,"Maldonado-","Koerdell","Manuel","ND"
113.00,1.00,58.00,"Torres","Martínez","Adriana","ND"
113.00,2.00,59.00,"Agenbroad","ND","Larry D.","ND"
114.00,1.00,60.00,"Corner","ND","R. George","ND"
114.00,2.00,124.00,"Voorhies","ND","Michel R.","ND"
115.00,1.00,231.00,"Aranda","Manteca","Francisco Javier","ND"
115.00,2.00,232.00,"Tellez","Duarte","Miguel Agustín","ND"
116.00,1.00,241.00,"Polaco","ND","Oscar J.","ND"
116.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
117.00,1.00,233.00,"Buitrón","Sánchez","Blanca Estela","ND"
118.00,1.00,305.00,"Valadez","Azúa","Raúl","ND"
118.00,2.00,374.00,"Lazos","Ramírez","Luz","ND"
119.00,1.00,241.00,"Polaco","ND","Oscar J.","ND"
120.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
120.00,2.00,295.00,"Ocaña","ND","Aurelio","ND"
121.00,1.00,62.00,"Hernández","Junquera","Arturo","ND"
122.00,1.00,230.00,"Andrews","ND","Antonio P.","ND"
123.00,1.00,217.00,"Mooser","ND","Oswaldo","ND"
123.00,2.00,81.00,"Dalquest","ND","Walter W.","ND"
124.00,1.00,140.00,"Martin","ND","Robert A.","ND"
125.00,1.00,59.00,"Agenbroad","ND","L. D.","ND"
126.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
127.00,1.00,234.00,"Alvarez","S.","Ticul","ND"
128.00,1.00,234.00,"Alvarez","S.","Ticul","ND"
129.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
130.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
130.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
131.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
131.00,2.00,295.00,"Ocaña","ND","Aurelio","ND"
131.00,3.00,280.00,"Valentín","M.","Norma","ND"
132.00,1.00,234.00,"Alvarez","ND","Ticul","ND"
133.00,1.00,59.00,"Agenbroad","ND","Larry D.","ND"
133.00,2.00,66.00,"Barton","ND","Bax R.","ND"
134.00,1.00,70.00,"Anónimo","ND","ND","ND"
135.00,1.00,67.00,"Angulo","ND","Jorge","ND"
136.00,1.00,68.00,"Arellano","ND","A. R. V.","ND"
137.00,1.00,68.00,"Arellano","ND","A. R. V.","ND"
137.00,2.00,69.00,"Müller","ND","Florencia","ND"
138.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
139.00,1.00,70.00,"Anónimo","ND","ND","ND"
140.00,1.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
140.00,2.00,234.00,"Alvarez","ND","Ticul","ND"
141.00,1.00,333.00,"Aveleyra","A. de Anda","Luis","ND"
142.00,1.00,333.00,"Aveleyra","Arroyo de Anda","Luis","ND"
143.00,1.00,72.00,"Aviña","A.","Clemencia","ND"
144.00,1.00,434.00,"Bárcena","ND","Mariano","ND"
145.00,1.00,73.00,"Berta","ND","Annalisa","ND"
146.00,1.00,74.00,"Brodkorb","ND","Pierce","ND"
147.00,1.00,442.00,"MacNeish","ND","Richard Stockton","ND"
148.00,1.00,75.00,"Cabrera","Castro","Rubén","ND"
149.00,1.00,226.00,"Del Castillo","ND","Antonio","ND"
150.00,1.00,354.00,"Carranza-","Castañeda","Oscar","ND"
151.00,1.00,40.00,"Cartelle","ND","Cástor","ND"
151.00,2.00,76.00,"Bohorquez","ND","Germán A.","ND"
152.00,1.00,261.00,"Churcher","ND","C. S.","ND"
153.00,1.00,77.00,"Chiasson","ND","Robert B.","ND"
154.00,1.00,78.00,"Cope","ND","E. D.","ND"
155.00,1.00,78.00,"Cope","ND","E. D.","ND"
156.00,1.00,79.00,"Cuatáparo","ND","J. N.","ND"
156.00,2.00,80.00,"Ramírez","ND","Santiago","ND"
157.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
158.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
159.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
160.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
161.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
162.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
163.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
164.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
165.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
165.00,2.00,217.00,"Mooser","ND","Oswaldo","ND"
166.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
166.00,2.00,82.00,"Roth","ND","W.","ND"
166.00,3.00,83.00,"Judd","ND","Franix","ND"
167.00,1.00,81.00,"Dalquest","ND","Walter W.","ND"
167.00,2.00,84.00,"Stangl","ND","Frederick B. Jr.","ND"
168.00,1.00,85.00,"Del Río","ND","Aurelio","ND"
169.00,1.00,86.00,"Díaz","Lozano","Enrique","ND"
170.00,1.00,86.00,"Díaz","Lozano","Enrique","ND"
171.00,1.00,87.00,"Diffenderfer","ND","F. R.","ND"
172.00,1.00,88.00,"Doutt","ND","J. Kenneth","ND"
172.00,2.00,89.00,"Black","ND","Craig C.","ND"
173.00,1.00,90.00,"Downs","ND","T.","ND"
174.00,1.00,91.00,"Dugés","ND","Alfredo","ND"
175.00,1.00,91.00,"Dugés","ND","Alfredo","ND"
176.00,1.00,91.00,"Dugés","ND","Alfredo","ND"
