"IDEDADGEOLOGICA","EDAD_GEOLOGICA"
"AFTO","Aftoniano"
"EHOL","Holoceno temprano"
"EWIS","Wisconsiniano temprano"
"HOLO","Holoceno"
"ILLI","Illinoiano"
"KANS","Kansano"
"LHOL","Holoceno tardío"
"LWIS","Wisconsiniano tardío"
"MHOL","Holoceno medio"
"MWIS","Wisconsiniano medio"
"ND","No disponible"
"NEBR","Nebraskano"
"PILL","Post-Illinoiano"
"PLPL","Plio-Pleistoceno"
"PRIL","Pre-Illinoiano"
"PRKS","Pre-Kansano"
"PRNB","Pre-Nebraskano"
"SANG","Sangamoniano"
"SAWI","Sangamoniano/Wisconsiniano"
"WIHO","Wisconsiniano/Holoceno"
"WISC","Wisconsiniano"
"YARM","Yarmouthiano"
