"IDTIPO_MATERIAL","MATERIAL"
"AMHU","Aminoácidos de hueso"
"APCA","Apatita/carbonato óseo"
"ARFI","Artefacto fibroso"
"ARPI","Artefacto de piedra"
"CAHI","Característica histórica"
"CARB","Carbonato"
"CARO","Carbón"
"CERA","Cerámica"
"CEVO","Ceniza volcánica"
"COCA","Concha carbonatada"
"COGA","Concha orgánica"
"COHU","Colágeno de hueso"
"CONC","Concha"
"CORR","Fecha corregida"
"DECO","Dendrocronología corregida"
"ESMA","Esmalte de diente"
"ESTI","Estiércol"
"ESTR","Estructura o rasgo"
"GYTJ","Gyttja"
"HUCA","Hueso carbonizado"
"HUES","Hueso"
"HUMA","Humates"
"ISCO","Isotópicamente corregida"
"LACU","Lámina de cuerno"
"LOGA","Lodo orgánico"
"MADE","Madera"
"MAPA","Material de planta"
"ND","No disponible"
"OBSI","Obsidiana"
"PACA","Planta carbonizada"
"PLEO","Paleosol"
"TURB","Turba"
