"IDMODIFICA","MODIFICACI"
"AE","Artefacto embebido"
"AG","Agujereado"
"AS","Abrasión somera"
"AT","Asta trabajada"
"CH","Color en hueso"
"DE","Decorado"
"DH","Destazado humano"
"DS","Desgastado"
"ER","Estriaciones por raspado"
"ES","Estriaciones"
"ET","ETCHED"
"FL","Fractura longitudinal"
"FS","Fractura espiral"
"FT","Fractura transversa"
"HH","Herramienta en hueso"
"I0","Estado de intemperización 0"
"I1","Estado de intemperización 1"
"I2","Estado de intemperización 2"
"I3","Estado de intemperización 3"
"I4","Estado de intemperización 4"
"I5","Estado de intemperización 5"
"LA","Laminillas"
"MC","Marcas de rebanado"
"MD","Marcas de dientes"
"MI","Marcas de impacto"
"MN","Mineralizado"
"MR","Marcado por raíces"
"ND","No disponible"
"PA","Patología"
"PE","Perforado"
"PI","Pisoteo"
"PU","Pulimento"
"QU","Quemado"
"RC","Roído por carnívoro"
"RR","Roido por roedor"
"TR","Trabajado"
