"IDLOCALIDAD"	"IDESTADO"	"IDMUNICIPI"	"NOMBRE_LOCALIDAD"	"NUMERO_MAPA"	"ESCALA_MAPA"	"LATITUD_GRADOS"	"LATITUD_MINUTOS"	"LATITUD_SEGUNDOS"	"LONGITUD_GRADOS"	"LONGITUD_MINUTOS"	"LONGITUD_SEGUNDOS"	"MERCATOR_NORTE"	"MERCATOR_ESTE"	"LOCALIDAD"	"COORDENADA_N.S"	"COORDENADA_E.W"	"ELEVACION"	"IDPRECISION"	"COMENTARIOS"	"suma"	"with.coords"	"num.abs.dates"	"num.rel.ages"	"primary.pubs"	"num.taxa"	"spatial.rank"	"temporal.rank"	"material.rank"	"taxa.rank"
1	19	24	"Cueva de San Josecito"	"ND"	"ND"	23	57	21	99	54	45	"ND"	"ND"	"Ejido San Josecito"	"1 Km S"	"ND"	2250	"ND"	"1 Km S Ejido San Josecito; Arroyo Cabrales y Ray (1997): 24 05' N, 9949' W: SW Aramberri"	1	"Y"	14	9	TRUE	115	1	1	1	1
2	15	0	"Tlapacoya"	"ND"	"ND"	19	19	99	98	55	99	"ND"	"ND"	"Tlapacoya"	"1.5 Km S"	"ND"	2240	"ND"	"1.5 Km S Tlapacoya; ref. 740:150m Oeste de zona arqueologica de Tlapacoya en parte N del cerro de Tlapacoya; 26 Km SE de la ciudad de Mxico; sur de la Sierra del Pino: los trabajos de Arroyo Cabrales dicen que est a 11302'40\" W asi como 11317'40\"W, pero obviamente hay problemas. El dato correcto podra ser 99, se desconoce si hay problemas en minutos y segundos. Para la ubicacin que ahora se proporciona se sigui a Manuel Reyes"	1	"Y"	1	5	TRUE	39	1	1	1	1
3	15	0	"Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 847: en la margen N de la Cuenca de Mxico"	1	"N"	0	12	TRUE	84	2	2	1	1
4	31	0	"Gruta de Loltn"	"ND"	"ND"	20	15	99	89	28	99	"ND"	"ND"	"Oxkutzcab"	"ND"	"ND"	40	"ND"	"ref. 741: 110 Km S de Mrida Yucatn; ref. 791: 3 millas E de Tabi, Yucatan; S de Oxkutzcab, dos horas de Oxkutzcab; ref 467 (Arroyo Cabrales y Ray, 1997) 7 km S Oxkutzcab"	1	"Y"	9	13	TRUE	89	1	1	1	1
5	8	0	"Cueva de Jimnez"	"ND"	"ND"	27	7	99	104	55	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"al sur del estado de Chihuahua; ref. 138 (tesis de Joaqun) dice que est al norte del estado"	1	"Y"	0	5	TRUE	41	1	2	1	1
6	19	0	"Cueva de La Boca"	"ND"	"ND"	25	25	99	100	9	99	"ND"	"ND"	"ND"	"ND"	"ND"	540	"ND"	"3 km E Santiago"	1	"Y"	0	1	TRUE	8	1	2	1	2
7	24	0	"El Cedral"	"ND"	"ND"	23	49	99	100	43	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"1.7 km SE El Cedral, adjunto a los ranchos La Laguna y Pilar de Cedros"	1	"Y"	18	4	TRUE	48	1	1	1	1
8	24	0	"Cueva de la Presita"	"ND"	"ND"	23	39	99	100	39	99	"ND"	"ND"	"ND"	"ND"	"ND"	1540	"ND"	"21.4 km S Matehuala, del lado E del cerro La Presita, cerca del poblado La Bonita"	1	"Y"	0	1	TRUE	37	1	2	1	1
9	31	0	"Actun Spukil"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Calcehtok"	"6 Km S"	"ND"	9999	"ND"	"aprox. 6 Km S Calcehtok. Cerca de Oxkimtock, ruinas con edad anterior a 475 AD"	1	"N"	0	4	TRUE	57	2	2	1	1
10	28	0	"Cueva de El Abra"	"ND"	"ND"	22	36	30	99	1	30	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"CP"	"ND"	1	"Y"	0	2	TRUE	29	1	2	1	1
